id	name	type
9ac43103-ce35-4469-976e-501594e19873	AdvBlitzBerry	AdvancementSO
36559347-4e07-45e1-bdf6-d20cc4590fc8	AdvContinuousCoconut	AdvancementSO
9bbe3608-b69e-4d61-9779-b104f8fdaa51	AdvFrugalFig	AdvancementSO
801853c9-4a00-44b9-aabc-08922c19330a	AdvPowerPear	AdvancementSO
c6583ffe-2eac-4818-932f-c8e94ef73fd4	AdvEnrichCraggySpire	AdvancementSO
072045cf-724e-4dcb-9cbd-2a59793c9a7a	AdvEnrichDarkThistle	AdvancementSO
7957f7d5-b1c7-4bf7-91ef-79e4e1318ae1	AdvEnrichDreamberry	AdvancementSO
9f3fa1ea-58df-4354-8ab6-daaac1ece536	AdvEnrichElementiaSpring	AdvancementSO
b73fb0df-3985-4eac-a072-b6c5ef16190c	AdvEnrichForceTree	AdvancementSO
19c0e9dc-183b-47a9-b1d3-065347bceebb	AdvEnrichFruitTree	AdvancementSO
680933e1-b7e5-462f-ba50-2879695aea59	AdvEnrichIronwoodTree	AdvancementSO
cdeff67a-a025-4086-b883-4e6078841557	AdvEnrichMagebloom	AdvancementSO
cc181b2b-7597-484d-b899-033a64d514c8	AdvEnrichOakTree	AdvancementSO
8af5a156-4a5c-4faa-b8eb-6f34f2ec304c	AdvEnrichTreasureTree	AdvancementSO
1855e5c3-194f-4287-a434-23be5a68dd75	AdvEnrichVoidMoss	AdvancementSO
fd57dbae-488c-43f5-bc31-3ccf4c0e0e68	AdvEnrichWaterSpring	AdvancementSO
2bfdf92f-9b8a-480b-b6e5-f136f1809d6f	AdvAlchemistsStone	AdvancementSO
8431bac1-7a21-49de-8b92-e44a22508fc9	AdvCastingGem	AdvancementSO
259b6363-45db-4093-bb3e-5b140ba8d4b3	AdvDimensionalSlatestone	AdvancementSO
56bf0b2f-b5ea-4382-9776-eb9a960827b7	AdvDivineStone	AdvancementSO
f494b172-374d-42c1-8228-c135e922024e	AdvEmeraldPowerstone	AdvancementSO
dc6cb0b5-92b6-4017-9327-39e0e37eae8c	AdvExperienceGem	AdvancementSO
b0b05d7d-3dca-41e4-a4fd-6ac31a9c324f	AdvLoadStone	AdvancementSO
d1228d1a-d8ad-4971-bf0a-d1ddfeec90fc	AdvManaGem	AdvancementSO
0d008e6e-8907-4ca7-aa60-e5c0537a3c74	AdvMindstone	AdvancementSO
3b1d0dcb-ae2b-4215-8566-1462950cbb39	AdvPurgeStone	AdvancementSO
b6852547-e120-475b-8146-a31f9e576eff	AdvVoidStone	AdvancementSO
7ff364ee-a907-43e1-ac01-c5cc25009cbb	AdvWarStone	AdvancementSO
169e3d4b-954a-4d73-b790-00ef2e2a7ebc	BrewArcanumPotion	AlchemyRecipeSO
c257db26-0f83-4471-ac4a-dce55f421f27	BrewBlazePotion	AlchemyRecipeSO
1461b2e6-c5ce-471b-b5a3-e20d96d42102	BrewCraftingPotion	AlchemyRecipeSO
9826c852-8fd0-4efe-a1fe-2caa00a3c1d3	BrewDeconstructorsSalve	AlchemyRecipeSO
25be62b2-5e49-4831-b286-f3d024050382	BrewDimensionalSalve	AlchemyRecipeSO
d721d918-12a6-4752-b19e-d871e23f8ff3	BrewElementalPotion	AlchemyRecipeSO
709114f3-92fe-47c7-832c-dd4033cb9e43	BrewExpansionPotion	AlchemyRecipeSO
f8000ef4-69f2-4ea6-bf24-a3de6128e310	BrewExperienceElixir	AlchemyRecipeSO
9271dad9-8801-47a3-bbb9-21eb85551eec	BrewExtractionElixir	AlchemyRecipeSO
26a8866f-dbfd-4d9c-ba93-d661ee401bdc	BrewFlowPotion	AlchemyRecipeSO
531c7a47-8eee-4792-9ae3-9471a1ee2d68	BrewFuryPotion	AlchemyRecipeSO
323bfed5-fd27-4570-905c-f1b2f032bf2d	BrewHarvestingTonic	AlchemyRecipeSO
7bc24ff0-ed56-4240-aa41-1c9e05c59f0f	BrewHerbalistsBrew	AlchemyRecipeSO
e0a1eb6e-0702-4fe9-ab83-31fdf1d70ef9	BrewKnowledgeBrew	AlchemyRecipeSO
dd364b14-e818-49f9-ad06-f593d58d06ce	BrewLightningTonic	AlchemyRecipeSO
ef29f6df-4660-4d83-bf62-1230cf1a23de	BrewManaPotion	AlchemyRecipeSO
57a484d5-bd47-4e1a-907e-e00b254e9193	BrewMemoryMixture	AlchemyRecipeSO
d7e73440-19b7-40a2-aa92-a0bade79bcb8	BrewMentalistsSalve	AlchemyRecipeSO
35b6ce96-c66e-4a5b-993e-36a740d99acd	BrewMetalworkPotion	AlchemyRecipeSO
56175c0d-ab11-4a42-afb5-3067648c357f	BrewMysticsMiracle	AlchemyRecipeSO
a5673dc0-a0e4-434a-8b44-229775fbadd1	BrewPowerPotion	AlchemyRecipeSO
3b0a738e-e945-4865-9dd1-d2635efa498e	BrewSorcerersSalve	AlchemyRecipeSO
b4880870-a9d8-4999-86a8-fe3b508f05d8	BrewSparkPotion	AlchemyRecipeSO
29b3b250-8f85-4a0f-90fb-27403e916f09	BrewStabilizationSalve	AlchemyRecipeSO
e180b669-0cfc-4f78-bc53-186c3e66e79d	BrewStarBrew	AlchemyRecipeSO
29451b4e-e9e6-4af4-8154-0876f4c8cb4e	BrewStormshapersSalve	AlchemyRecipeSO
65fcd863-e0ac-445c-bbf0-23689390f79f	BrewTransmutationOil	AlchemyRecipeSO
d8405e2e-dd8c-4069-8b4c-c235472583a3	BrewWitchesBrew	AlchemyRecipeSO
e36c68e3-0890-4a07-bc22-c5215bb40e15	BrewWizardsTonic	AlchemyRecipeSO
fc1cbc33-d6ba-4dbf-9968-5326f133d72c	BrewWoodworkPotion	AlchemyRecipeSO
09ce90c4-de3d-4538-8299-32f24ced93d6	ChannelControl	AlchemyRecipeSO
f7b30e77-b0f2-4678-a433-04aa4fee0941	ChannelSpark	AlchemyRecipeSO
588d8976-828d-4d1e-9d41-77068af6d854	DismantleAlchemicScrolls	AlchemyRecipeSO
ed2582f3-5f4c-4641-9d67-ba1b3c1184a8	DismantleDarkThistle	AlchemyRecipeSO
59a5a907-8b8c-47ae-a0ca-b27b218f6a3c	DismantleDreamberry	AlchemyRecipeSO
68eefe6a-a60e-4269-859d-b681d79bbb7f	DismantleForceBark	AlchemyRecipeSO
0a03b3d1-9b3d-4f0b-ab9e-9965b2bced2a	DismantleIronwood	AlchemyRecipeSO
8166ea0d-d2c3-45ea-9a41-114d00112e9a	DismantleMagebloom	AlchemyRecipeSO
143b66a6-5974-42b0-92af-47b4476749b2	DismantleSigils	AlchemyRecipeSO
6628c5b7-f83b-40fe-92c9-631105d7f3fe	DismantleThaumicScrolls	AlchemyRecipeSO
b90ff48c-8fc5-4e6f-85a5-0f7c5e377329	DismantleWood	AlchemyRecipeSO
841f64d5-2795-4c0f-af25-238c37477da1	EnchantElemental	AlchemyRecipeSO
63f9c3d2-26c5-4d57-8629-be68192c8850	EnchantEnergy	AlchemyRecipeSO
b13673fd-2ac6-488e-8a4a-410586b3e3ab	EnchantEssence	AlchemyRecipeSO
43ba7bb8-4098-4e3b-97a6-5274194ed9df	EnchantExtraction	AlchemyRecipeSO
e9991d02-c253-462c-988d-6b27ac2e18f5	EnchantHexed	AlchemyRecipeSO
b9bd6d0b-8390-4d9c-b2de-af1589a58169	EnchantMaterials	AlchemyRecipeSO
3ed37327-e0c1-45de-bcc1-01a2923a2cbf	EnchantMental	AlchemyRecipeSO
7ee3b88d-50c8-4dd3-a522-23d73d28014a	EnchantMetal	AlchemyRecipeSO
d2fe9554-3ab8-419c-b1d3-9177606d111c	EnchantNatural	AlchemyRecipeSO
21b4c87b-7cd1-4620-a44a-63d16570d7fb	EnchantSpirit	AlchemyRecipeSO
45a0e50e-b62e-42d3-8491-5b213bfd1e27	EnchantTempered	AlchemyRecipeSO
b8985b4f-fe4a-42cb-808d-98f13eb2fccb	EnchantTransmutations	AlchemyRecipeSO
068c6512-08ec-4957-88f5-692b14b09501	RefineElementia	AlchemyRecipeSO
8aff1c67-4209-4156-87e6-78a288dae39b	RefineInk	AlchemyRecipeSO
a0ef70dc-80d6-4902-b055-5cc37973cbd6	RefineOcculticEssence	AlchemyRecipeSO
8cf8141a-9a4b-49b6-90f7-770115c471a9	RefineOrganicEssence	AlchemyRecipeSO
4d245563-f524-479b-8079-3f8a5d5c2bfd	RefineSoulshards	AlchemyRecipeSO
05589125-5a98-4e74-a1ae-2b2146ea68c4	RefineTemperedEssence	AlchemyRecipeSO
fe799156-97de-49f5-923b-f413449f608a	AlchemyRecipes	AlchemyRecipeListVariable
cf57a1e0-797f-4201-9b8d-b4975dabbec3	TransmuteAmber	AlchemyRecipeSO
ad826e3d-be4e-407f-a7dd-1658d14f9f5d	TransmuteArcanum	AlchemyRecipeSO
2cabf932-ffb5-4a01-8278-443b15dd7cc3	TransmuteBlaze	AlchemyRecipeSO
2042cec5-4b93-4e44-abee-10f850426b2b	TransmuteBlooming	AlchemyRecipeSO
eba99a6e-26fc-4fcd-987e-98ead726b0b6	TransmuteBuilding	AlchemyRecipeSO
